index,benchmark,result,runs_required,selected_run,selection_policy,correct_flag_hex,soc_count_hex,cpu_count_hex,reference_soc_count_hex,reference_cpu_count_hex,cpu_to_soc_ratio,expected_cpu_to_soc_ratio,ratio_deviation_percent,counter_ratio_status,ipc_ratio,system_counter_ratio
1,bitcount,pass,2,1,largest_cpu_count_if_both_pass,1,000406a7,00030324,00100aa1,00053e58,0.748206347,0.750018750,-0.241648,within_10pct,1.740724981257,3.984494801912
2,bubble_sort,pass,2,1,largest_cpu_count_if_both_pass,1,001c0584,001500b0,004a96fe,00186716,0.749519173,0.750018750,-0.066609,within_10pct,1.161883769049,2.661873645462
3,coremark,pass,2,1,largest_cpu_count_if_both_pass,1,0033b2ed,0026c3c1,00c0a5e2,003f07e2,0.749815607,0.750018750,-0.027085,within_10pct,1.625985787731,3.726343738351
4,crc32,pass,2,2,largest_cpu_count_if_both_pass,1,001bf156,0014f1f5,0078c6dd,00276afd,0.749574335,0.750018750,-0.059254,within_10pct,1.881959930383,4.322299910335
5,dhrystone,pass,2,1,largest_cpu_count_if_both_pass,1,0000a93d,00007e24,0002349f,0000b609,0.745343335,0.750018750,-0.623373,within_10pct,1.443112845287,3.336249278707
6,quick_sort,pass,2,1,largest_cpu_count_if_both_pass,1,0022aad0,0019fe78,005be036,001e0d7e,0.749815137,0.750018750,-0.027148,within_10pct,1.156139201570,2.650220603252
7,select_sort,pass,2,1,largest_cpu_count_if_both_pass,1,000ad5f1,00081e1b,00308f13,000fe26e,0.749152619,0.750018750,-0.115481,within_10pct,1.956796586434,4.481375919023
8,sha,pass,2,2,largest_cpu_count_if_both_pass,1,001c6478,001545cb,00668bdb,00216c8b,0.749235246,0.750018750,-0.104465,within_10pct,1.571220760292,3.611744972935
9,stream_copy,pass,2,1,largest_cpu_count_if_both_pass,1,00023df5,0001ac90,00062003,0001fe57,0.746680460,0.750018750,-0.445094,within_10pct,1.190817777454,2.731932241226
10,stringsearch,pass,2,1,largest_cpu_count_if_both_pass,1,000777a9,00059748,001b730d,0008e08b,0.748711137,0.750018750,-0.174344,within_10pct,1.587768280169,3.675889126148
11,fireye_A0,pass,2,1,largest_cpu_count_if_both_pass,1,000e512b,000abbdf,00c5c10a,0040b56d,0.749725829,0.750018750,-0.039055,within_10pct,6.028458110327,13.812474487974
12,fireye_B2,pass,2,1,largest_cpu_count_if_both_pass,1,000645ba,0004b26d,0019741b,00085296,0.748835953,0.750018750,-0.157702,within_10pct,1.771906400148,4.058041774314
13,fireye_C0,pass,2,1,largest_cpu_count_if_both_pass,1,000918bc,0006d005,001f922c,000a52a8,0.748913036,0.750018750,-0.147425,within_10pct,1.515267577368,3.470628493213
14,fireye_D1,pass,2,1,largest_cpu_count_if_both_pass,1,00238e9f,001aa8d5,0119945d,005c244d,0.749765585,0.750018750,-0.033754,within_10pct,3.456246347638,7.919077652342
15,fireye_I2,pass,2,1,largest_cpu_count_if_both_pass,1,00356137,0028065a,00b62c7e,003b9be3,0.749812694,0.750018750,-0.027473,within_10pct,1.489299544884,3.412788801402
16,inner_product,pass,2,1,largest_cpu_count_if_both_pass,1,007675a8,0058d659,02f4e009,00f7b121,0.749937527,0.750018750,-0.010829,within_10pct,2.788152299168,6.389310541507
17,lookup_table,pass,2,1,largest_cpu_count_if_both_pass,1,001ac4af,00141173,0089f828,002d22c7,0.749698881,0.750018750,-0.042648,within_10pct,2.249127310413,5.154207948870
18,loop_induction,pass,2,1,largest_cpu_count_if_both_pass,1,0059d7a9,004360ba,0204dc71,00a923d4,0.749955714,0.750018750,-0.008405,within_10pct,2.510320281796,5.752973761671
19,my_memcmp,pass,2,1,largest_cpu_count_if_both_pass,1,001213a5,000d8c24,009e5407,0033ce59,0.749439721,0.750018750,-0.077202,within_10pct,3.824051297300,8.758673461205
20,minmax_sequence,pass,2,1,largest_cpu_count_if_both_pass,1,002cc6d4,00219308,00b7df68,003c29aa,0.749817685,0.750018750,-0.026808,within_10pct,1.791926476416,4.106439155913
