benchmark_index,benchmark,run,switch,correct_flag,soc_count,cpu_count,valid,selected
1,bitcount,1,7E,1,000406A7,00030324,pass,1
1,bitcount,2,7E,1,000406A7,00030324,pass,0
2,bubble_sort,1,7D,1,001C0584,001500B0,pass,1
2,bubble_sort,2,7D,1,001AE9A5,00142BD3,pass,0
3,coremark,1,7C,1,0033B2ED,0026C3C1,pass,1
3,coremark,2,7C,1,00328656,0025E1D4,pass,0
4,crc32,1,7B,1,001BEE89,0014EFDD,pass,0
4,crc32,2,7B,1,001BF156,0014F1F5,pass,1
5,dhrystone,1,7A,1,0000A93D,00007E24,pass,1
5,dhrystone,2,7A,1,0000A968,00007D68,pass,0
6,quick_sort,1,79,1,0022AAD0,0019FE78,pass,1
6,quick_sort,2,79,1,0021E5D5,00196A23,pass,0
7,select_sort,1,78,1,000AD5F1,00081E1B,pass,1
7,select_sort,2,78,1,000A566D,0007BEF8,pass,0
8,sha,1,77,1,001C5D89,001542E6,pass,0
8,sha,2,77,1,001C6478,001545CB,pass,1
9,stream_copy,1,76,1,00023DF5,0001AC90,pass,1
9,stream_copy,2,76,1,00023769,0001A894,pass,0
10,stringsearch,1,75,1,000777A9,00059748,pass,1
10,stringsearch,2,75,1,0007371C,00056648,pass,0
11,fireye_A0,1,74,1,000E512B,000ABBDF,pass,1
11,fireye_A0,2,74,1,000E5070,000AB991,pass,0
12,fireye_B2,1,73,1,000645BA,0004B26D,pass,1
12,fireye_B2,2,73,1,000617F4,000490F0,pass,0
13,fireye_C0,1,72,1,000918BC,0006D005,pass,1
13,fireye_C0,2,72,1,00083B8E,00062AAB,pass,0
14,fireye_D1,1,71,1,00238E9F,001AA8D5,pass,1
14,fireye_D1,2,71,1,002327EE,001A5B58,pass,0
15,fireye_I2,1,70,1,00356137,0028065A,pass,1
15,fireye_I2,2,70,1,00353BDC,0027EBE4,pass,0
16,inner_product,1,6F,1,007675A8,0058D659,pass,1
16,inner_product,2,6F,1,0076264C,00589B12,pass,0
17,lookup_table,1,6E,1,001AC4AF,00141173,pass,1
17,lookup_table,2,6E,1,001AAD2D,0013FF99,pass,0
18,loop_induction,1,6D,1,0059D7A9,004360BA,pass,1
18,loop_induction,2,6D,1,0059D635,00435FCC,pass,0
19,my_memcmp,1,6C,1,001213A5,000D8C24,pass,1
19,my_memcmp,2,6C,1,00120CBB,000D888B,pass,0
20,minmax_sequence,1,6B,1,002CC6D4,00219308,pass,1
20,minmax_sequence,2,6B,1,002C80FE,00215D7A,pass,0
